MonthStart DepartmentID Headcount                               AverageMonthlySalary
---------- ------------ --------------------------------------- ---------------------------------------
2026-01-01 D02          450.00                                  75000.00
2026-01-01 D03          1100.00                                 95000.00
2026-01-01 D04          400.00                                  85000.00
2026-01-01 D05          350.00                                  90000.00
2026-01-01 D06          700.00                                  65000.00
2026-01-01 D07          150.00                                  70000.00
2026-01-01 D08          200.00                                  55000.00
2026-02-01 D01          700.00                                  70000.00
2026-02-01 D02          450.00                                  75000.00
2026-02-01 D03          1100.00                                 95000.00
2026-02-01 D04          400.00                                  85000.00
2026-02-01 D05          350.00                                  90000.00
2026-02-01 D06          700.00                                  65000.00
2026-02-01 D07          150.00                                  70000.00
2026-02-01 D08          200.00                                  55000.00
2026-03-01 D01          700.00                                  70000.00
2026-03-01 D02          450.00                                  75000.00
2026-03-01 D03          1100.00                                 95000.00
2026-03-01 D04          400.00                                  85000.00
2026-03-01 D05          350.00                                  90000.00
2026-03-01 D06          700.00                                  65000.00
2026-03-01 D07          150.00                                  70000.00
2026-03-01 D08          200.00                                  55000.00
2026-04-01 D01          700.00                                  70000.00
2026-04-01 D02          450.00                                  75000.00
2026-04-01 D03          1100.00                                 95000.00
2026-04-01 D04          400.00                                  85000.00
2026-04-01 D05          350.00                                  90000.00
2026-04-01 D06          700.00                                  65000.00
2026-04-01 D07          150.00                                  70000.00
2026-04-01 D08          200.00                                  55000.00
2026-05-01 D01          700.00                                  70000.00
2026-05-01 D02          450.00                                  75000.00
2026-05-01 D03          1100.00                                 95000.00
2026-05-01 D04          400.00                                  85000.00
2026-05-01 D05          350.00                                  90000.00
2026-05-01 D06          700.00                                  65000.00
2026-05-01 D07          150.00                                  70000.00
2026-05-01 D08          200.00                                  55000.00
2026-06-01 D01          700.00                                  70000.00
2026-06-01 D02          450.00                                  75000.00
2026-06-01 D03          1100.00                                 95000.00
2026-06-01 D04          400.00                                  85000.00
2026-06-01 D05          350.00                                  90000.00
2026-06-01 D06          700.00                                  65000.00
2026-06-01 D07          150.00                                  70000.00
2026-06-01 D08          200.00                                  55000.00

(144 rows affected)


Completion time: 2026-08-19T19:30:03.9804496+08:00
