MonthStart ProductID  RegionID   Units                                   ASP                                     Revenue                                 COGS
2025-02-01 P005       R02        137700.00                               299.00                                  41172300.00                             20586150.00
2025-02-01 P005       R03        153900.00                               299.00                                  46016100.00                             23008050.00
2025-02-01 P005       R04        89100.00                                299.00                                  26640900.00                             13320450.00
2025-02-01 P006       R01        540000.00                               39.00                                   21060000.00                             5265000.00
2025-02-01 P006       R02        459000.00                               39.00                                   17901000.00                             4475250.00
2025-02-01 P006       R03        513000.00                               39.00                                   20007000.00                             5001750.00
2025-02-01 P006       R04        297000.00                               39.00                                   11583000.00                             2895750.00
2025-02-01 P007       R01        360000.00                               24.00                                   8640000.00                              1728000.00
2025-02-01 P007       R02        306000.00                               24.00                                   7344000.00                              1468800.00
2025-02-01 P007       R03        342000.00                               24.00                                   8208000.00                              1641600.00
2025-02-01 P007       R04        198000.00                               24.00                                   4752000.00                              950400.00
2025-02-01 P008       R01        1080000.00                              12.00                                   12960000.00                             3888000.00
2025-02-01 P008       R02        918000.00                               12.00                                   11016000.00                             3304800.00
2025-02-01 P008       R03        1026000.00                              12.00                                   12312000.00                             3693600.00
2025-02-01 P008       R04        594000.00                               12.00                                   7128000.00                              2138400.00
2025-02-01 P009       R01        720000.00                               15.00                                   10800000.00                             3780000.00
2025-02-01 P009       R02        612000.00                               15.00                                   9180000.00                              3213000.00
2025-02-01 P009       R03        684000.00                               15.00                                   10260000.00                             3591000.00
2025-02-01 P009       R04        396000.00                               15.00                                   5940000.00                              2079000.00
2025-02-01 P010       R01        810000.00                               8.00                                    6480000.00                              972000.00
2025-02-01 P010       R02        688500.00                               8.00                                    5508000.00                              826200.00
2025-02-01 P010       R03        769500.00                               8.00                                    6156000.00                              923400.00
2025-02-01 P010       R04        445500.00                               8.00                                    3564000.00                              534600.00
2025-03-01 P001       R01        240000.00                               699.00                                  167760000.00                            104011200.00
2025-03-01 P001       R02        204000.00                               699.00                                  142596000.00                            88409520.00
2025-03-01 P001       R03        228000.00                               699.00                                  159372000.00                            98810640.00
2025-03-01 P001       R04        132000.00                               699.00                                  92268000.00                             57206160.00
2025-03-01 P002       R01        115200.00                               999.00                                  115084800.00                            66749184.00
2025-03-01 P002       R02        97920.00                                999.00                                  97822080.00                             56736806.40
2025-03-01 P002       R03        109440.00                               999.00                                  109330560.00                            63411724.80
2025-03-01 P002       R04        63360.00                                999.00                                  63296640.00                             36712051.20
2025-03-01 P003       R01        134400.00                               549.00                                  73785600.00                             44271360.00
2025-03-01 P003       R02        114240.00                               549.00                                  62717760.00                             37630656.00
2025-03-01 P003       R03        127680.00                               549.00                                  70096320.00                             42057792.00
2025-03-01 P003       R04        73920.00                                549.00                                  40582080.00                             24349248.00
2025-03-01 P004       R01        67200.00                                1199.00                                 80572800.00                             44315040.00
2025-03-01 P004       R02        57120.00                                1199.00                                 68486880.00                             37667784.00
2025-03-01 P004       R03        63840.00                                1199.00                                 76544160.00                             42099288.00
2025-03-01 P004       R04        36960.00                                1199.00                                 44315040.00                             24373272.00
2025-03-01 P005       R01        172800.00                               299.00                                  51667200.00                             25833600.00
2025-03-01 P005       R02        146880.00                               299.00                                  43917120.00                             21958560.00
2025-03-01 P005       R03        164160.00                               299.00                                  49083840.00                             24541920.00
2025-03-01 P005       R04        95040.00                                299.00                                  28416960.00                             14208480.00
2025-03-01 P006       R01        576000.00                               39.00                                   22464000.00                             5616000.00
2025-03-01 P006       R02        489600.00                               39.00                                   19094400.00                             4773600.00
2025-03-01 P006       R03        547200.00                               39.00                                   21340800.00                             5335200.00
2025-03-01 P006       R04        316800.00                               39.00                                   12355200.00                             3088800.00
2025-03-01 P007       R01        384000.00                               24.00                                   9216000.00                              1843200.00
2025-03-01 P007       R02        326400.00                               24.00                                   7833600.00                              1566720.00
2025-03-01 P007       R03        364800.00                               24.00                                   8755200.00                              1751040.00
2025-03-01 P007       R04        211200.00                               24.00                                   5068800.00                              1013760.00
2025-03-01 P008       R01        1152000.00                              12.00                                   13824000.00                             4147200.00
2025-03-01 P008       R02        979200.00                               12.00                                   11750400.00                             3525120.00
2025-03-01 P008       R03        1094400.00                              12.00                                   13132800.00                             3939840.00
2025-03-01 P008       R04        633600.00                               12.00                                   7603200.00                              2280960.00
2025-03-01 P009       R01        768000.00                               15.00                                   11520000.00                             4032000.00
2025-03-01 P009       R02        652800.00                               15.00                                   9792000.00                              3427200.00
2025-03-01 P009       R03        729600.00                               15.00                                   10944000.00                             3830400.00
2025-03-01 P009       R04        422400.00                               15.00                                   6336000.00                              2217600.00
2025-03-01 P010       R01        864000.00                               8.00                                    6912000.00                              1036800.00
2025-03-01 P010       R02        734400.00                               8.00                                    5875200.00                              881280.00
2025-03-01 P010       R03        820800.00                               8.00                                    6566400.00                              984960.00
2025-03-01 P010       R04        475200.00                               8.00                                    3801600.00                              570240.00
2025-04-01 P001       R01        237500.00                               699.00                                  166012500.00                            102927750.00
2025-04-01 P001       R02        201875.00                               699.00                                  141110625.00                            87488587.50
2025-04-01 P001       R03        225625.00                               699.00                                  157711875.00                            97781362.50
2025-04-01 P001       R04        130625.00                               699.00                                  91306875.00                             56610262.50
2025-04-01 P002       R01        114000.00                               999.00                                  113886000.00                            66053880.00
2025-04-01 P002       R02        96900.00                                999.00                                  96803100.00                             56145798.00
2025-04-01 P002       R03        108300.00                               999.00                                  108191700.00                            62751186.00
2025-04-01 P002       R04        62700.00                                999.00                                  62637300.00                             36329634.00
2025-04-01 P003       R01        133000.00                               549.00                                  73017000.00                             43810200.00
2025-04-01 P003       R02        113050.00                               549.00                                  62064450.00                             37238670.00
2025-04-01 P003       R03        126350.00                               549.00                                  69366150.00                             41619690.00
2025-04-01 P003       R04        73150.00                                549.00                                  40159350.00                             24095610.00
2025-04-01 P004       R01        66500.00                                1199.00                                 79733500.00                             43853425.00
2025-04-01 P004       R02        56525.00                                1199.00                                 67773475.00                             37275411.25
2025-04-01 P004       R03        63175.00                                1199.00                                 75746825.00                             41660753.75
2025-04-01 P004       R04        36575.00                                1199.00                                 43853425.00                             24119383.75
2025-04-01 P005       R01        171000.00                               299.00                                  51129000.00                             25564500.00
2025-04-01 P005       R02        145350.00                               299.00                                  43459650.00                             21729825.00
2025-04-01 P005       R03        162450.00                               299.00                                  48572550.00                             24286275.00
2025-04-01 P005       R04        94050.00                                299.00                                  28120950.00                             14060475.00
2025-04-01 P006       R01        570000.00                               39.00                                   22230000.00                             5557500.00
2025-04-01 P006       R02        484500.00                               39.00                                   18895500.00                             4723875.00
2025-04-01 P006       R03        541500.00                               39.00                                   21118500.00                             5279625.00
2025-04-01 P006       R04        313500.00                               39.00                                   12226500.00                             3056625.00
2025-04-01 P007       R01        380000.00                               24.00                                   9120000.00                              1824000.00
2025-04-01 P007       R02        323000.00                               24.00                                   7752000.00                              1550400.00
2025-04-01 P007       R03        361000.00                               24.00                                   8664000.00                              1732800.00
2025-04-01 P007       R04        209000.00                               24.00                                   5016000.00                              1003200.00
2025-04-01 P008       R01        1140000.00                              12.00                                   13680000.00                             4104000.00
2025-04-01 P008       R02        969000.00                               12.00                                   11628000.00                             3488400.00
2025-04-01 P008       R03        1083000.00                              12.00                                   12996000.00                             3898800.00
2025-04-01 P008       R04        627000.00                               12.00                                   7524000.00                              2257200.00
2025-04-01 P009       R01        760000.00                               15.00                                   11400000.00                             3990000.00
2025-04-01 P009       R02        646000.00                               15.00                                   9690000.00                              3391500.00
2025-04-01 P009       R03        722000.00                               15.00                                   10830000.00                             3790500.00
2025-04-01 P009       R04        418000.00                               15.00                                   6270000.00                              2194500.00
2025-04-01 P010       R01        855000.00                               8.00                                    6840000.00                              1026000.00
2025-04-01 P010       R02        726750.00                               8.00                                    5814000.00                              872100.00
2025-04-01 P010       R03        812250.00                               8.00                                    6498000.00                              974700.00
2025-04-01 P010       R04        470250.00                               8.00                                    3762000.00                              564300.00
2025-05-01 P001       R01        250000.00                               699.00                                  174750000.00                            108345000.00
2025-05-01 P001       R02        212500.00                               699.00                                  148537500.00                            92093250.00
2025-05-01 P001       R03        237500.00                               699.00                                  166012500.00                            102927750.00
2025-05-01 P001       R04        137500.00                               699.00                                  96112500.00                             59589750.00
2025-05-01 P002       R01        120000.00                               999.00                                  119880000.00                            69530400.00
2025-05-01 P002       R02        102000.00                               999.00                                  101898000.00                            59100840.00
2025-05-01 P002       R03        114000.00                               999.00                                  113886000.00                            66053880.00
2025-05-01 P002       R04        66000.00                                999.00                                  65934000.00                             38241720.00
2025-05-01 P003       R01        140000.00                               549.00                                  76860000.00                             46116000.00
2025-05-01 P003       R02        119000.00                               549.00                                  65331000.00                             39198600.00
2025-05-01 P003       R03        133000.00                               549.00                                  73017000.00                             43810200.00
2025-05-01 P003       R04        77000.00                                549.00                                  42273000.00                             25363800.00
2025-05-01 P004       R01        70000.00                                1199.00                                 83930000.00                             46161500.00
2025-05-01 P004       R02        59500.00                                1199.00                                 71340500.00                             39237275.00
2025-05-01 P004       R03        66500.00                                1199.00                                 79733500.00                             43853425.00
2025-05-01 P004       R04        38500.00                                1199.00                                 46161500.00                             25388825.00
2025-05-01 P005       R01        180000.00                               299.00                                  53820000.00                             26910000.00
2025-05-01 P005       R02        153000.00                               299.00                                  45747000.00                             22873500.00
2025-05-01 P005       R03        171000.00                               299.00                                  51129000.00                             25564500.00
2025-05-01 P005       R04        99000.00                                299.00                                  29601000.00                             14800500.00
2025-05-01 P006       R01        600000.00                               39.00                                   23400000.00                             5850000.00
2025-05-01 P006       R02        510000.00                               39.00                                   19890000.00                             4972500.00
2025-05-01 P006       R03        570000.00                               39.00                                   22230000.00                             5557500.00
2025-05-01 P006       R04        330000.00                               39.00                                   12870000.00                             3217500.00
2025-05-01 P007       R01        400000.00                               24.00                                   9600000.00                              1920000.00
2025-05-01 P007       R02        340000.00                               24.00                                   8160000.00                              1632000.00
2025-05-01 P007       R03        380000.00                               24.00                                   9120000.00                              1824000.00
2025-05-01 P007       R04        220000.00                               24.00                                   5280000.00                              1056000.00
2025-05-01 P008       R01        1200000.00                              12.00                                   14400000.00                             4320000.00
2025-05-01 P008       R02        1020000.00                              12.00                                   12240000.00                             3672000.00
2025-05-01 P008       R03        1140000.00                              12.00                                   13680000.00                             4104000.00
2025-05-01 P008       R04        660000.00                               12.00                                   7920000.00                              2376000.00
2025-05-01 P009       R01        800000.00                               15.00                                   12000000.00                             4200000.00
2025-05-01 P009       R02        680000.00                               15.00                                   10200000.00                             3570000.00
2025-05-01 P009       R03        760000.00                               15.00                                   11400000.00                             3990000.00
2025-05-01 P009       R04        440000.00                               15.00                                   6600000.00                              2310000.00
2025-05-01 P010       R01        900000.00                               8.00                                    7200000.00                              1080000.00
2025-05-01 P010       R02        765000.00                               8.00                                    6120000.00                              918000.00
2025-05-01 P010       R03        855000.00                               8.00                                    6840000.00                              1026000.00
2025-05-01 P010       R04        495000.00                               8.00                                    3960000.00                              594000.00
2025-06-01 P001       R01        255000.00                               699.00                                  178245000.00                            110511900.00
2025-06-01 P001       R02        216750.00                               699.00                                  151508250.00                            93935115.00
2025-06-01 P001       R03        242250.00                               699.00                                  169332750.00                            104986305.00
2025-06-01 P001       R04        140250.00                               699.00                                  98034750.00                             60781545.00
2025-06-01 P002       R01        122400.00                               999.00                                  122277600.00                            70921008.00
2025-06-01 P002       R02        104040.00                               999.00                                  103935960.00                            60282856.80
2025-06-01 P002       R03        116280.00                               999.00                                  116163720.00                            67374957.60
2025-06-01 P002       R04        67320.00                                999.00                                  67252680.00                             39006554.40
2025-06-01 P003       R01        142800.00                               549.00                                  78397200.00                             47038320.00
2025-06-01 P003       R02        121380.00                               549.00                                  66637620.00                             39982572.00
2025-06-01 P003       R03        135660.00                               549.00                                  74477340.00                             44686404.00
2025-06-01 P003       R04        78540.00                                549.00                                  43118460.00                             25871076.00
2025-06-01 P004       R01        71400.00                                1199.00                                 85608600.00                             47084730.00
2025-06-01 P004       R02        60690.00                                1199.00                                 72767310.00                             40022020.50
2025-06-01 P004       R03        67830.00                                1199.00                                 81328170.00                             44730493.50
2025-06-01 P004       R04        39270.00                                1199.00                                 47084730.00                             25896601.50
2025-06-01 P005       R01        183600.00                               299.00                                  54896400.00                             27448200.00
2025-06-01 P005       R02        156060.00                               299.00                                  46661940.00                             23330970.00
2025-06-01 P005       R03        174420.00                               299.00                                  52151580.00                             26075790.00
2025-06-01 P005       R04        100980.00                               299.00                                  30193020.00                             15096510.00
2025-06-01 P006       R01        612000.00                               39.00                                   23868000.00                             5967000.00
2025-06-01 P006       R02        520200.00                               39.00                                   20287800.00                             5071950.00
2025-06-01 P006       R03        581400.00                               39.00                                   22674600.00                             5668650.00
2025-06-01 P006       R04        336600.00                               39.00                                   13127400.00                             3281850.00
2025-06-01 P007       R01        408000.00                               24.00                                   9792000.00                              1958400.00
2025-06-01 P007       R02        346800.00                               24.00                                   8323200.00                              1664640.00
2025-06-01 P007       R03        387600.00                               24.00                                   9302400.00                              1860480.00
2025-06-01 P007       R04        224400.00                               24.00                                   5385600.00                              1077120.00
2025-06-01 P008       R01        1224000.00                              12.00                                   14688000.00                             4406400.00
2025-06-01 P008       R02        1040400.00                              12.00                                   12484800.00                             3745440.00
2025-06-01 P008       R03        1162800.00                              12.00                                   13953600.00                             4186080.00
2025-06-01 P008       R04        673200.00                               12.00                                   8078400.00                              2423520.00
2025-06-01 P009       R01        816000.00                               15.00                                   12240000.00                             4284000.00
2025-06-01 P009       R02        693600.00                               15.00                                   10404000.00                             3641400.00
2025-06-01 P009       R03        775200.00                               15.00                                   11628000.00                             4069800.00
2025-06-01 P009       R04        448800.00                               15.00                                   6732000.00                              2356200.00
2025-06-01 P010       R01        918000.00                               8.00                                    7344000.00                              1101600.00
2025-06-01 P010       R02        780300.00                               8.00                                    6242400.00                              936360.00
2025-06-01 P010       R03        872100.00                               8.00                                    6976800.00                              1046520.00
2025-06-01 P010       R04        504900.00                               8.00                                    4039200.00                              605880.00
2025-07-01 P001       R01        257500.00                               699.00                                  179992500.00                            111595350.00
2025-07-01 P001       R02        218875.00                               699.00                                  152993625.00                            94856047.50
2025-07-01 P001       R03        244625.00                               699.00                                  170992875.00                            106015582.50
2025-07-01 P001       R04        141625.00                               699.00                                  98995875.00                             61377442.50
2025-07-01 P002       R01        123600.00                               999.00                                  123476400.00                            71616312.00
2025-07-01 P002       R02        105060.00                               999.00                                  104954940.00                            60873865.20
2025-07-01 P002       R03        117420.00                               999.00                                  117302580.00                            68035496.40
2025-07-01 P002       R04        67980.00                                999.00                                  67912020.00                             39388971.60
2025-07-01 P003       R01        144200.00                               549.00                                  79165800.00                             47499480.00
2025-07-01 P003       R02        122570.00                               549.00                                  67290930.00                             40374558.00
2025-07-01 P003       R03        136990.00                               549.00                                  75207510.00                             45124506.00
2025-07-01 P003       R04        79310.00                                549.00                                  43541190.00                             26124714.00
2025-07-01 P004       R01        72100.00                                1199.00                                 86447900.00                             47546345.00
2025-07-01 P004       R02        61285.00                                1199.00                                 73480715.00                             40414393.25
2025-07-01 P004       R03        68495.00                                1199.00                                 82125505.00                             45169027.75
2025-07-01 P004       R04        39655.00                                1199.00                                 47546345.00                             26150489.75
2025-07-01 P005       R01        185400.00                               299.00                                  55434600.00                             27717300.00
2025-07-01 P005       R02        157590.00                               299.00                                  47119410.00                             23559705.00
2025-07-01 P005       R03        176130.00                               299.00                                  52662870.00                             26331435.00
2025-07-01 P005       R04        101970.00                               299.00                                  30489030.00                             15244515.00
2025-07-01 P006       R01        618000.00                               39.00                                   24102000.00                             6025500.00
2025-07-01 P006       R02        525300.00                               39.00                                   20486700.00                             5121675.00
2025-07-01 P006       R03        587100.00                               39.00                                   22896900.00                             5724225.00
2025-07-01 P006       R04        339900.00                               39.00                                   13256100.00                             3314025.00
2025-07-01 P007       R01        412000.00                               24.00                                   9888000.00                              1977600.00
2025-07-01 P007       R02        350200.00                               24.00                                   8404800.00                              1680960.00
2025-07-01 P007       R03        391400.00                               24.00                                   9393600.00                              1878720.00
2025-07-01 P007       R04        226600.00                               24.00                                   5438400.00                              1087680.00
2025-07-01 P008       R01        1236000.00                              12.00                                   14832000.00                             4449600.00
2025-07-01 P008       R02        1050600.00                              12.00                                   12607200.00                             3782160.00
2025-07-01 P008       R03        1174200.00                              12.00                                   14090400.00                             4227120.00
2025-07-01 P008       R04        679800.00                               12.00                                   8157600.00                              2447280.00
2025-07-01 P009       R01        824000.00                               15.00                                   12360000.00                             4326000.00
2025-07-01 P009       R02        700400.00                               15.00                                   10506000.00                             3677100.00
2025-07-01 P009       R03        782800.00                               15.00                                   11742000.00                             4109700.00
2025-07-01 P009       R04        453200.00                               15.00                                   6798000.00                              2379300.00
2025-07-01 P010       R01        927000.00                               8.00                                    7416000.00                              1112400.00
2025-07-01 P010       R02        787950.00                               8.00                                    6303600.00                              945540.00
2025-07-01 P010       R03        880650.00                               8.00                                    7045200.00                              1056780.00
2025-07-01 P010       R04        509850.00                               8.00                                    4078800.00                              611820.00
2025-08-01 P001       R01        255000.00                               699.00                                  178245000.00                            110511900.00
2025-08-01 P001       R02        216750.00                               699.00                                  151508250.00                            93935115.00
2025-08-01 P001       R03        242250.00                               699.00                                  169332750.00                            104986305.00
2025-08-01 P001       R04        140250.00                               699.00                                  98034750.00                             60781545.00
2025-08-01 P002       R01        122400.00                               999.00                                  122277600.00                            70921008.00
2025-08-01 P002       R02        104040.00                               999.00                                  103935960.00                            60282856.80
2025-08-01 P002       R03        116280.00                               999.00                                  116163720.00                            67374957.60
2025-08-01 P002       R04        67320.00                                999.00                                  67252680.00                             39006554.40
2025-08-01 P003       R01        142800.00                               549.00                                  78397200.00                             47038320.00
2025-08-01 P003       R02        121380.00                               549.00                                  66637620.00                             39982572.00
2025-08-01 P003       R03        135660.00                               549.00                                  74477340.00                             44686404.00
2025-08-01 P003       R04        78540.00                                549.00                                  43118460.00                             25871076.00
2025-08-01 P004       R01        71400.00                                1199.00                                 85608600.00                             47084730.00
2025-08-01 P004       R02        60690.00                                1199.00                                 72767310.00                             40022020.50
2025-08-01 P004       R03        67830.00                                1199.00                                 81328170.00                             44730493.50
2025-08-01 P004       R04        39270.00                                1199.00                                 47084730.00                             25896601.50
2025-08-01 P005       R01        183600.00                               299.00                                  54896400.00                             27448200.00
2025-08-01 P005       R02        156060.00                               299.00                                  46661940.00                             23330970.00
2025-08-01 P005       R03        174420.00                               299.00                                  52151580.00                             26075790.00
2025-08-01 P005       R04        100980.00                               299.00                                  30193020.00                             15096510.00
2025-08-01 P006       R01        612000.00                               39.00                                   23868000.00                             5967000.00
2025-08-01 P006       R02        520200.00                               39.00                                   20287800.00                             5071950.00
2025-08-01 P006       R03        581400.00                               39.00                                   22674600.00                             5668650.00
2025-08-01 P006       R04        336600.00                               39.00                                   13127400.00                             3281850.00
2025-08-01 P007       R01        408000.00                               24.00                                   9792000.00                              1958400.00
2025-08-01 P007       R02        346800.00                               24.00                                   8323200.00                              1664640.00
2025-08-01 P007       R03        387600.00                               24.00                                   9302400.00                              1860480.00
2025-08-01 P007       R04        224400.00                               24.00                                   5385600.00                              1077120.00
2025-08-01 P008       R01        1224000.00                              12.00                                   14688000.00                             4406400.00
2025-08-01 P008       R02        1040400.00                              12.00                                   12484800.00                             3745440.00
2025-08-01 P008       R03        1162800.00                              12.00                                   13953600.00                             4186080.00
2025-08-01 P008       R04        673200.00                               12.00                                   8078400.00                              2423520.00
2025-08-01 P009       R01        816000.00                               15.00                                   12240000.00                             4284000.00
2025-08-01 P009       R02        693600.00                               15.00                                   10404000.00                             3641400.00
2025-08-01 P009       R03        775200.00                               15.00                                   11628000.00                             4069800.00
2025-08-01 P009       R04        448800.00                               15.00                                   6732000.00                              2356200.00
2025-08-01 P010       R01        918000.00                               8.00                                    7344000.00                              1101600.00
2025-08-01 P010       R02        780300.00                               8.00                                    6242400.00                              936360.00
2025-08-01 P010       R03        872100.00                               8.00                                    6976800.00                              1046520.00
2025-08-01 P010       R04        504900.00                               8.00                                    4039200.00                              605880.00
2025-09-01 P001       R01        250000.00                               699.00                                  174750000.00                            108345000.00
2025-09-01 P001       R02        212500.00                               699.00                                  148537500.00                            92093250.00
2025-09-01 P001       R03        237500.00                               699.00                                  166012500.00                            102927750.00
2025-09-01 P001       R04        137500.00                               699.00                                  96112500.00                             59589750.00
2025-09-01 P002       R01        120000.00                               999.00                                  119880000.00                            69530400.00
2025-09-01 P002       R02        102000.00                               999.00                                  101898000.00                            59100840.00
2025-09-01 P002       R03        114000.00                               999.00                                  113886000.00                            66053880.00
2025-09-01 P002       R04        66000.00                                999.00                                  65934000.00                             38241720.00
2025-09-01 P003       R01        140000.00                               549.00                                  76860000.00                             46116000.00
2025-09-01 P003       R02        119000.00                               549.00                                  65331000.00                             39198600.00
2025-09-01 P003       R03        133000.00                               549.00                                  73017000.00                             43810200.00
2025-09-01 P003       R04        77000.00                                549.00                                  42273000.00                             25363800.00
2025-09-01 P004       R01        70000.00                                1199.00                                 83930000.00                             46161500.00
2025-09-01 P004       R02        59500.00                                1199.00                                 71340500.00                             39237275.00
2025-09-01 P004       R03        66500.00                                1199.00                                 79733500.00                             43853425.00
2025-09-01 P004       R04        38500.00                                1199.00                                 46161500.00                             25388825.00
2025-09-01 P005       R01        180000.00                               299.00                                  53820000.00                             26910000.00
2025-09-01 P005       R02        153000.00                               299.00                                  45747000.00                             22873500.00
2025-09-01 P005       R03        171000.00                               299.00                                  51129000.00                             25564500.00
2025-09-01 P005       R04        99000.00                                299.00                                  29601000.00                             14800500.00
2025-09-01 P006       R01        600000.00                               39.00                                   23400000.00                             5850000.00
2025-09-01 P006       R02        510000.00                               39.00                                   19890000.00                             4972500.00
2025-09-01 P006       R03        570000.00                               39.00                                   22230000.00                             5557500.00
2025-09-01 P006       R04        330000.00                               39.00                                   12870000.00                             3217500.00
2025-09-01 P007       R01        400000.00                               24.00                                   9600000.00                              1920000.00
2025-09-01 P007       R02        340000.00                               24.00                                   8160000.00                              1632000.00
2025-09-01 P007       R03        380000.00                               24.00                                   9120000.00                              1824000.00
2025-09-01 P007       R04        220000.00                               24.00                                   5280000.00                              1056000.00
2025-09-01 P008       R01        1200000.00                              12.00                                   14400000.00                             4320000.00
2025-09-01 P008       R02        1020000.00                              12.00                                   12240000.00                             3672000.00
2025-09-01 P008       R03        1140000.00                              12.00                                   13680000.00                             4104000.00
2025-09-01 P008       R04        660000.00                               12.00                                   7920000.00                              2376000.00
2025-09-01 P009       R01        800000.00                               15.00                                   12000000.00                             4200000.00
2025-09-01 P009       R02        680000.00                               15.00                                   10200000.00                             3570000.00
2025-09-01 P009       R03        760000.00                               15.00                                   11400000.00                             3990000.00
2025-09-01 P009       R04        440000.00                               15.00                                   6600000.00                              2310000.00
2025-09-01 P010       R01        900000.00                               8.00                                    7200000.00                              1080000.00
2025-09-01 P010       R02        765000.00                               8.00                                    6120000.00                              918000.00
2025-09-01 P010       R03        855000.00                               8.00                                    6840000.00                              1026000.00
2025-09-01 P010       R04        495000.00                               8.00                                    3960000.00                              594000.00
2025-10-01 P001       R01        262500.00                               699.00                                  183487500.00                            113762250.00
2025-10-01 P001       R02        223125.00                               699.00                                  155964375.00                            96697912.50
2025-10-01 P001       R03        249375.00                               699.00                                  174313125.00                            108074137.50
2025-10-01 P001       R04        144375.00                               699.00                                  100918125.00                            62569237.50
